Name,Value,Timestamp,Step
"train_accuracy",0.14012500643730164,1744386004283,1
"val_accuracy",0.11050000041723251,1744386004283,1
"train_loss",3.8235998153686523,1744386004283,1
"val_loss",183.77285766601562,1744386004283,1
"step",0,1744386004283,1
"train_accuracy",0.1978749930858612,1744386004283,1
"val_accuracy",0.11699999868869781,1744386004283,1
"train_loss",2.6152877807617188,1744386004283,1
"val_loss",133.02537536621094,1744386004283,1
"step",1,1744386004283,1
"train_accuracy",0.24950000643730164,1744386004283,1
"val_accuracy",0.1340000033378601,1744386004283,1
"train_loss",2.2111599445343018,1744386004283,1
"val_loss",8.478577613830566,1744386004283,1
"step",2,1744386004283,1
"train_accuracy",0.3071250021457672,1744386004283,1
"val_accuracy",0.22949999570846558,1744386004283,1
"train_loss",1.9935898780822754,1744386004283,1
"val_loss",2.498400926589966,1744386004283,1
"step",3,1744386004283,1
"train_accuracy",0.3453750014305115,1744386004283,1
"val_accuracy",0.320499986410141,1744386004283,1
"train_loss",1.8327902555465698,1744386004283,1
"val_loss",2.2053728103637695,1744386004283,1
"step",4,1744386004283,1
"train_accuracy",0.3880000114440918,1744386004284,1
"val_accuracy",0.36000001430511475,1744386004284,1
"train_loss",1.7175415754318237,1744386004284,1
"val_loss",2.092183828353882,1744386004284,1
"step",5,1744386004284,1
"train_accuracy",0.42362499237060547,1744386004284,1
"val_accuracy",0.3714999854564667,1744386004284,1
"train_loss",1.6140884160995483,1744386004284,1
"val_loss",1.993397831916809,1744386004284,1
"step",6,1744386004284,1
"train_accuracy",0.4637500047683716,1744386004284,1
"val_accuracy",0.39800000190734863,1744386004284,1
"train_loss",1.4976118803024292,1744386004284,1
"val_loss",1.9116325378417969,1744386004284,1
"step",7,1744386004284,1
"train_accuracy",0.4970000088214874,1744386004284,1
"val_accuracy",0.42149999737739563,1744386004284,1
"train_loss",1.4105602502822876,1744386004284,1
"val_loss",1.8667023181915283,1744386004284,1
"step",8,1744386004284,1
"train_accuracy",0.5262500047683716,1744386004284,1
"val_accuracy",0.4334999918937683,1744386004284,1
"train_loss",1.308114767074585,1744386004284,1
"val_loss",1.8141039609909058,1744386004284,1
"step",9,1744386004284,1
